DATE_YEAR,DATE_MONTH,OBSERVATIONS
2020,1,23
2020,2,32
2020,3,50
2020,4,57
2020,5,37
2020,6,27
2020,7,18
2020,8,10
2020,9,14
2020,10,17
2020,11,22
2020,12,19
2021,1,34
2021,2,87
2021,3,48
2021,4,49
2021,5,34
2021,6,18
2021,7,16
2021,8,7
2021,9,23
2021,10,14
2021,11,21
2021,12,11
2022,1,29
2022,2,27
2022,3,33
2022,4,17
2022,5,42
2022,6,17
2022,7,16
2022,8,9
2022,9,15
2022,10,23
2022,11,13
2022,12,25
2023,1,20
2023,2,14
2023,3,33
2023,4,25
2023,5,33
2023,6,12
2023,7,34
2023,8,7
2023,9,21
2023,10,11
2023,11,11
2023,12,46
2024,1,72
2024,2,177
2024,3,40
2024,4,12
2024,5,7
2024,6,6
2024,7,17
2024,8,123
2024,9,151
2024,10,153
2024,11,101
2024,12,111
